Profile,Preference,Seed,Rank,Gene,BanditRolloutScore,BanditRankScore
compromise,r0.50_d0.50,48,1,VHL,2.390982389450073,-1.0
compromise,r0.50_d0.50,48,2,PBRM1,1.534772276878357,-2.0
compromise,r0.50_d0.50,48,3,MUC4,0.963027834892273,-3.0
compromise,r0.50_d0.50,48,4,SETD2,0.9418833255767822,-4.0
compromise,r0.50_d0.50,48,5,BAP1,0.8790938854217529,-5.0
compromise,r0.50_d0.50,48,6,MTOR,0.8529462814331055,-6.0
compromise,r0.50_d0.50,48,7,GALNT11,0.6687293648719788,-7.0
compromise,r0.50_d0.50,48,8,TP53,0.6587966680526733,-8.0
compromise,r0.50_d0.50,48,9,ATM,0.5461823344230652,-9.0
compromise,r0.50_d0.50,48,10,SMARCA4,0.4434366822242737,-10.0
compromise,r0.50_d0.50,48,11,SVIL,0.2836930751800537,-11.0
compromise,r0.50_d0.50,48,12,PIK3CA,0.2445369064807891,-12.0
compromise,r0.50_d0.50,48,13,SPEN,0.193308800458908,-13.0
compromise,r0.50_d0.50,48,14,PABPC1,0.1545780897140503,-14.0
compromise,r0.50_d0.50,48,15,XPO1,0.1411213278770446,-15.0
compromise,r0.50_d0.50,48,16,SOS1,0.0958226323127746,-16.0
compromise,r0.50_d0.50,48,17,EGFR,0.0774263739585876,-17.0
compromise,r0.50_d0.50,48,18,EP300,0.1108570843935012,-18.0
compromise,r0.50_d0.50,48,19,CREBBP,0.1190070211887359,-19.0
compromise,r0.50_d0.50,48,20,DST,0.1037449836730957,-20.0
compromise,r0.50_d0.50,48,21,MLL2,0.0909510850906372,-21.0
compromise,r0.50_d0.50,48,22,BRCA1,0.0873114466667175,-22.0
compromise,r0.50_d0.50,48,23,PCLO,0.0772337317466735,-23.0
compromise,r0.50_d0.50,48,24,SRC,0.0752544403076171,-24.0
compromise,r0.50_d0.50,48,25,USH2A,0.0765956044197082,-25.0
compromise,r0.50_d0.50,48,26,PDE4DIP,0.075525939464569,-26.0
compromise,r0.50_d0.50,48,27,PTEN,0.0738598704338073,-27.0
compromise,r0.50_d0.50,48,28,KCNJ12,0.0722244381904602,-28.0
compromise,r0.50_d0.50,48,29,BRCA2,0.0720039010047912,-29.0
compromise,r0.50_d0.50,48,30,MAP2K3,0.0709646344184875,-30.0
compromise,r0.50_d0.50,48,31,BIRC6,0.0696112513542175,-31.0
compromise,r0.50_d0.50,48,32,SPTA1,0.0659742355346679,-32.0
compromise,r0.50_d0.50,48,33,BLM,0.0653698444366455,-33.0
compromise,r0.50_d0.50,48,34,RANBP2,0.0649431943893432,-34.0
compromise,r0.50_d0.50,48,35,SVEP1,0.0645949244499206,-35.0
compromise,r0.50_d0.50,48,36,KIF1B,0.0640383958816528,-36.0
compromise,r0.50_d0.50,48,37,WASL,0.0631826519966125,-37.0
compromise,r0.50_d0.50,48,38,LRP1B,0.0625906586647033,-38.0
compromise,r0.50_d0.50,48,39,ERBB4,0.0610062479972839,-39.0
compromise,r0.50_d0.50,48,40,ZFPM2,0.0602247714996337,-40.0
compromise,r0.50_d0.50,48,41,NFE2L2,0.0601639151573181,-41.0
compromise,r0.50_d0.50,48,42,ZMYM2,0.0596585273742675,-42.0
compromise,r0.50_d0.50,48,43,PDGFRA,0.0595261454582214,-43.0
compromise,r0.50_d0.50,48,44,DNMT1,0.0598642826080322,-44.0
compromise,r0.50_d0.50,48,45,LRP2,0.0598531365394592,-45.0
compromise,r0.50_d0.50,48,46,NF1,0.0590654015541076,-46.0
compromise,r0.50_d0.50,48,47,SALL1,0.0585598349571228,-47.0
compromise,r0.50_d0.50,48,48,MYO3A,0.0583640336990356,-48.0
compromise,r0.50_d0.50,48,49,RYR1,0.0576686859130859,-49.0
compromise,r0.50_d0.50,48,50,ATRX,0.0573859214782714,-50.0
compromise,r0.50_d0.50,48,51,PTPN13,0.0572073459625244,-51.0
compromise,r0.50_d0.50,48,52,APC,0.0569075345993042,-52.0
compromise,r0.50_d0.50,48,53,NRIP1,0.0570476055145263,-53.0
