Profile,Preference,Gene,SeedSelectionCount,MeanRank,MedianRank,MeanBanditRolloutScore
compromise,r0.50_d0.50,VHL,3,1.0,1.0,2.4804327487945557
compromise,r0.50_d0.50,PBRM1,3,2.0,2.0,1.359123428662618
compromise,r0.50_d0.50,MUC4,3,3.0,3.0,1.3559567133585613
compromise,r0.50_d0.50,SETD2,3,4.0,4.0,0.975294848283132
compromise,r0.50_d0.50,BAP1,3,5.0,5.0,0.8402324914932251
compromise,r0.50_d0.50,MTOR,3,6.0,6.0,0.802472710609436
compromise,r0.50_d0.50,GALNT11,3,7.333333333333333,7.0,0.6063210368156433
compromise,r0.50_d0.50,TP53,3,7.666666666666667,8.0,0.6258571942647299
compromise,r0.50_d0.50,ATM,3,9.333333333333334,9.0,0.35838983952999115
compromise,r0.50_d0.50,SMARCA4,3,11.0,10.0,0.2928697168827057
compromise,r0.50_d0.50,PIK3CA,3,12.333333333333334,12.0,0.1690957198540369
compromise,r0.50_d0.50,SPEN,3,13.666666666666666,14.0,0.14631297687689457
compromise,r0.50_d0.50,EGFR,3,14.333333333333334,15.0,0.14405278364817295
compromise,r0.50_d0.50,DST,3,14.666666666666666,15.0,0.13464264074961343
compromise,r0.50_d0.50,PABPC1,3,14.666666666666666,14.0,0.1312064230442047
compromise,r0.50_d0.50,SVIL,3,16.333333333333332,18.0,0.13419939577579498
compromise,r0.50_d0.50,BRCA1,3,17.666666666666668,19.0,0.07968230048815407
compromise,r0.50_d0.50,MLL2,3,18.0,17.0,0.08862500141064322
compromise,r0.50_d0.50,PCLO,3,21.0,23.0,0.06733195483684536
compromise,r0.50_d0.50,SOS1,3,21.0,21.0,0.06428017218907667
compromise,r0.50_d0.50,KCNJ12,3,24.333333333333332,25.0,0.04976130773623783
compromise,r0.50_d0.50,XPO1,3,26.333333333333332,27.0,0.06698060656587276
compromise,r0.50_d0.50,BIRC6,3,27.0,26.0,0.0477083710332711
compromise,r0.50_d0.50,BRCA2,3,27.0,29.0,0.04600672920544937
compromise,r0.50_d0.50,MAP2K3,3,31.0,31.0,0.0424039500455061
compromise,r0.50_d0.50,USH2A,3,34.666666666666664,25.0,0.058919568856557164
compromise,r0.50_d0.50,PTEN,3,35.333333333333336,27.0,0.04247029994924858
compromise,r0.50_d0.50,NRIP1,3,37.0,31.0,0.03836320216457043
compromise,r0.50_d0.50,SPTA1,3,37.666666666666664,35.0,0.038613202671209934
compromise,r0.50_d0.50,WASL,3,38.0,37.0,0.0354446669419606
compromise,r0.50_d0.50,BLM,3,38.333333333333336,37.0,0.03517037319640313
compromise,r0.50_d0.50,KIF1B,3,42.666666666666664,38.0,0.03506738568345704
compromise,r0.50_d0.50,SVEP1,3,43.0,41.0,0.03439996888240173
compromise,r0.50_d0.50,ERBB4,3,44.333333333333336,47.0,0.03352004413803413
compromise,r0.50_d0.50,PDGFRA,3,45.0,43.0,0.035470714171727466
compromise,r0.50_d0.50,LRP1B,3,45.333333333333336,38.0,0.03579490383466077
compromise,r0.50_d0.50,JAK2,3,46.0,28.0,0.04183444380760187
compromise,r0.50_d0.50,PDE4DIP,3,48.0,36.0,0.038114680598179435
compromise,r0.50_d0.50,SALL1,3,49.0,47.0,0.0324662402272224
compromise,r0.50_d0.50,APC,3,49.333333333333336,52.0,0.031288197884956966
compromise,r0.50_d0.50,RANBP2,3,49.666666666666664,40.0,0.033657232299447004
compromise,r0.50_d0.50,ZFPM2,3,51.0,56.0,0.03082705972095323
compromise,r0.50_d0.50,LRP1,3,53.0,48.0,0.0347211696207523
compromise,r0.50_d0.50,CLTC,3,55.0,52.0,0.030925142268339766
compromise,r0.50_d0.50,FLG,3,57.0,63.0,0.03371428946653997
compromise,r0.50_d0.50,NFE2L2,3,60.333333333333336,68.0,0.029382554193337736
compromise,r0.50_d0.50,NCOR1,3,63.0,42.0,0.035631284117698635
compromise,r0.50_d0.50,PLEC,3,63.333333333333336,57.0,0.029146810372670435
compromise,r0.50_d0.50,KIF1A,3,63.666666666666664,81.0,0.03455350299676253
compromise,r0.50_d0.50,ZMYM2,3,64.0,64.0,0.028835398455460803
compromise,r0.50_d0.50,ATRX,3,64.66666666666667,61.0,0.029460140814383768
compromise,r0.50_d0.50,DNMT1,3,65.66666666666667,49.0,0.031306693330407094
compromise,r0.50_d0.50,AKAP13,3,66.66666666666667,61.0,0.028185784816741864
compromise,r0.50_d0.50,CHD3,3,66.66666666666667,66.0,0.028973296284675567
