Profile,Preference,Seed,Rank,Gene,BanditRolloutScore,BanditRankScore
recovery_heavy,r0.80_d0.20,42,1,VHL,4.02119779586792,-1.0
recovery_heavy,r0.80_d0.20,42,2,PBRM1,2.014235496520996,-2.0
recovery_heavy,r0.80_d0.20,42,3,MUC4,2.493130683898926,-3.0
recovery_heavy,r0.80_d0.20,42,4,SETD2,1.61122727394104,-4.0
recovery_heavy,r0.80_d0.20,42,5,BAP1,1.3402695655822754,-5.0
recovery_heavy,r0.80_d0.20,42,6,MTOR,1.2662365436553955,-6.0
recovery_heavy,r0.80_d0.20,42,7,TP53,0.975103199481964,-7.0
recovery_heavy,r0.80_d0.20,42,8,ATM,0.4383554756641388,-8.0
recovery_heavy,r0.80_d0.20,42,9,SMARCA4,0.3402161598205566,-9.0
recovery_heavy,r0.80_d0.20,42,10,PIK3CA,0.201564759016037,-10.0
recovery_heavy,r0.80_d0.20,42,11,SPEN,0.1636968106031417,-11.0
recovery_heavy,r0.80_d0.20,42,12,DST,0.1265340149402618,-12.0
recovery_heavy,r0.80_d0.20,42,13,SVIL,0.1515616476535797,-13.0
recovery_heavy,r0.80_d0.20,42,14,PABPC1,0.085553154349327,-14.0
recovery_heavy,r0.80_d0.20,42,15,GALNT11,0.0794423148036003,-15.0
recovery_heavy,r0.80_d0.20,42,16,MLL2,0.1141087412834167,-16.0
recovery_heavy,r0.80_d0.20,42,17,EGFR,0.0951395630836486,-17.0
recovery_heavy,r0.80_d0.20,42,18,BRCA2,0.0515642650425434,-18.0
recovery_heavy,r0.80_d0.20,42,19,KCNJ12,0.0466665886342525,-19.0
recovery_heavy,r0.80_d0.20,42,20,EP300,0.0428273566067218,-20.0
recovery_heavy,r0.80_d0.20,42,21,PCLO,0.0605174638330936,-21.0
recovery_heavy,r0.80_d0.20,42,22,MAP2K3,0.0545587539672851,-22.0
recovery_heavy,r0.80_d0.20,42,23,BIRC6,0.0540820360183715,-23.0
recovery_heavy,r0.80_d0.20,42,24,USH2A,0.0489468723535537,-24.0
recovery_heavy,r0.80_d0.20,42,25,LRP1,0.0459016561508178,-25.0
recovery_heavy,r0.80_d0.20,42,26,BLM,0.0460669286549091,-26.0
recovery_heavy,r0.80_d0.20,42,27,XPO1,0.0441489107906818,-27.0
recovery_heavy,r0.80_d0.20,42,28,SPTA1,0.0457261316478252,-28.0
recovery_heavy,r0.80_d0.20,42,29,LRP1B,0.0413702242076396,-29.0
recovery_heavy,r0.80_d0.20,42,30,NRIP1,0.0410288088023662,-30.0
recovery_heavy,r0.80_d0.20,42,31,WASL,0.0385444052517414,-31.0
