Method,Family,Seed,Profile,Scope,K,Evidence,SelectedN,HitN,HitRate,PoolHitRate,FoldEnrichment
EvidenceScore,EvidenceScore,,static,candidate_pool,50,IndependentAnyHit,50,9,0.18,0.1756924348904506,1.0245176470588235
EvidenceScore,EvidenceScore,,static,candidate_pool,50,IndependentStrongHit,50,1,0.02,0.0062009094667217855,3.225333333333334
EvidenceScore,EvidenceScore,,static,candidate_pool,50,FrozenLiteratureHoldout,50,2,0.04,0.0033071517155849523,12.095
EvidenceScore,EvidenceScore,,static,candidate_pool,50,CPTACRecurrence,50,3,0.06,0.11988424968995452,0.5004827586206897
EvidenceScore,EvidenceScore,,static,candidate_pool,50,CPTACProteinSupport,50,5,0.1,0.049607275733774284,2.0158333333333336
EvidenceScore,EvidenceScore,,static,candidate_pool,50,DepMapCCRCCDependency,50,0,0.0,0.12939231087226127,0.0
EvidenceScore,EvidenceScore,,static,candidate_pool,50,DepMapCCRCCSelective,50,0,0.0,0.009094667217858619,0.0
EvidenceScore,EvidenceScore,,static,candidate_pool,50,PostHocNonMutationAnyHit,50,7,0.14,0.06200909466721786,2.2577333333333334
EvidenceScore,EvidenceScore,,static,candidate_pool,50,PostHocNonMutationStrongHit,50,0,0.0,0.0,
EvidenceScore,EvidenceScore,,static,candidate_pool,100,IndependentAnyHit,100,15,0.15,0.1756924348904506,0.8537647058823529
EvidenceScore,EvidenceScore,,static,candidate_pool,100,IndependentStrongHit,100,1,0.01,0.0062009094667217855,1.612666666666667
EvidenceScore,EvidenceScore,,static,candidate_pool,100,FrozenLiteratureHoldout,100,2,0.02,0.0033071517155849523,6.0475
EvidenceScore,EvidenceScore,,static,candidate_pool,100,CPTACRecurrence,100,6,0.06,0.11988424968995452,0.5004827586206897
EvidenceScore,EvidenceScore,,static,candidate_pool,100,CPTACProteinSupport,100,8,0.08,0.049607275733774284,1.612666666666667
EvidenceScore,EvidenceScore,,static,candidate_pool,100,DepMapCCRCCDependency,100,1,0.01,0.12939231087226127,0.07728434504792332
EvidenceScore,EvidenceScore,,static,candidate_pool,100,DepMapCCRCCSelective,100,0,0.0,0.009094667217858619,0.0
EvidenceScore,EvidenceScore,,static,candidate_pool,100,PostHocNonMutationAnyHit,100,10,0.1,0.06200909466721786,1.6126666666666667
EvidenceScore,EvidenceScore,,static,candidate_pool,100,PostHocNonMutationStrongHit,100,0,0.0,0.0,
EvidenceScore,EvidenceScore,,static,candidate_pool,150,IndependentAnyHit,150,20,0.13333333333333333,0.1756924348904506,0.7589019607843137
EvidenceScore,EvidenceScore,,static,candidate_pool,150,IndependentStrongHit,150,1,0.006666666666666667,0.0062009094667217855,1.0751111111111114
EvidenceScore,EvidenceScore,,static,candidate_pool,150,FrozenLiteratureHoldout,150,2,0.013333333333333334,0.0033071517155849523,4.031666666666667
EvidenceScore,EvidenceScore,,static,candidate_pool,150,CPTACRecurrence,150,9,0.06,0.11988424968995452,0.5004827586206897
EvidenceScore,EvidenceScore,,static,candidate_pool,150,CPTACProteinSupport,150,10,0.06666666666666667,0.049607275733774284,1.343888888888889
EvidenceScore,EvidenceScore,,static,candidate_pool,150,DepMapCCRCCDependency,150,2,0.013333333333333334,0.12939231087226127,0.10304579339723109
EvidenceScore,EvidenceScore,,static,candidate_pool,150,DepMapCCRCCSelective,150,0,0.0,0.009094667217858619,0.0
EvidenceScore,EvidenceScore,,static,candidate_pool,150,PostHocNonMutationAnyHit,150,12,0.08,0.06200909466721786,1.2901333333333334
EvidenceScore,EvidenceScore,,static,candidate_pool,150,PostHocNonMutationStrongHit,150,0,0.0,0.0,
EvidenceScore,EvidenceScore,,static,global_then_filter,50,IndependentAnyHit,0,0,,0.1756924348904506,
EvidenceScore,EvidenceScore,,static,global_then_filter,50,IndependentStrongHit,0,0,,0.0062009094667217855,
EvidenceScore,EvidenceScore,,static,global_then_filter,50,FrozenLiteratureHoldout,0,0,,0.0033071517155849523,
EvidenceScore,EvidenceScore,,static,global_then_filter,50,CPTACRecurrence,0,0,,0.11988424968995452,
EvidenceScore,EvidenceScore,,static,global_then_filter,50,CPTACProteinSupport,0,0,,0.049607275733774284,
EvidenceScore,EvidenceScore,,static,global_then_filter,50,DepMapCCRCCDependency,0,0,,0.12939231087226127,
EvidenceScore,EvidenceScore,,static,global_then_filter,50,DepMapCCRCCSelective,0,0,,0.009094667217858619,
EvidenceScore,EvidenceScore,,static,global_then_filter,50,PostHocNonMutationAnyHit,0,0,,0.06200909466721786,
EvidenceScore,EvidenceScore,,static,global_then_filter,50,PostHocNonMutationStrongHit,0,0,,0.0,
EvidenceScore,EvidenceScore,,static,global_then_filter,100,IndependentAnyHit,0,0,,0.1756924348904506,
EvidenceScore,EvidenceScore,,static,global_then_filter,100,IndependentStrongHit,0,0,,0.0062009094667217855,
EvidenceScore,EvidenceScore,,static,global_then_filter,100,FrozenLiteratureHoldout,0,0,,0.0033071517155849523,
EvidenceScore,EvidenceScore,,static,global_then_filter,100,CPTACRecurrence,0,0,,0.11988424968995452,
EvidenceScore,EvidenceScore,,static,global_then_filter,100,CPTACProteinSupport,0,0,,0.049607275733774284,
EvidenceScore,EvidenceScore,,static,global_then_filter,100,DepMapCCRCCDependency,0,0,,0.12939231087226127,
EvidenceScore,EvidenceScore,,static,global_then_filter,100,DepMapCCRCCSelective,0,0,,0.009094667217858619,
EvidenceScore,EvidenceScore,,static,global_then_filter,100,PostHocNonMutationAnyHit,0,0,,0.06200909466721786,
EvidenceScore,EvidenceScore,,static,global_then_filter,100,PostHocNonMutationStrongHit,0,0,,0.0,
EvidenceScore,EvidenceScore,,static,global_then_filter,150,IndependentAnyHit,0,0,,0.1756924348904506,
EvidenceScore,EvidenceScore,,static,global_then_filter,150,IndependentStrongHit,0,0,,0.0062009094667217855,
EvidenceScore,EvidenceScore,,static,global_then_filter,150,FrozenLiteratureHoldout,0,0,,0.0033071517155849523,
EvidenceScore,EvidenceScore,,static,global_then_filter,150,CPTACRecurrence,0,0,,0.11988424968995452,
EvidenceScore,EvidenceScore,,static,global_then_filter,150,CPTACProteinSupport,0,0,,0.049607275733774284,
EvidenceScore,EvidenceScore,,static,global_then_filter,150,DepMapCCRCCDependency,0,0,,0.12939231087226127,
EvidenceScore,EvidenceScore,,static,global_then_filter,150,DepMapCCRCCSelective,0,0,,0.009094667217858619,
EvidenceScore,EvidenceScore,,static,global_then_filter,150,PostHocNonMutationAnyHit,0,0,,0.06200909466721786,
EvidenceScore,EvidenceScore,,static,global_then_filter,150,PostHocNonMutationStrongHit,0,0,,0.0,
mutation,mutation,,static,candidate_pool,50,IndependentAnyHit,50,32,0.64,0.1756924348904506,3.6427294117647055
mutation,mutation,,static,candidate_pool,50,IndependentStrongHit,50,2,0.04,0.0062009094667217855,6.450666666666668
mutation,mutation,,static,candidate_pool,50,FrozenLiteratureHoldout,50,0,0.0,0.0033071517155849523,0.0
mutation,mutation,,static,candidate_pool,50,CPTACRecurrence,50,28,0.56,0.11988424968995452,4.671172413793104
mutation,mutation,,static,candidate_pool,50,CPTACProteinSupport,50,6,0.12,0.049607275733774284,2.419
mutation,mutation,,static,candidate_pool,50,DepMapCCRCCDependency,50,3,0.06,0.12939231087226127,0.4637060702875399
mutation,mutation,,static,candidate_pool,50,DepMapCCRCCSelective,50,0,0.0,0.009094667217858619,0.0
mutation,mutation,,static,candidate_pool,50,PostHocNonMutationAnyHit,50,6,0.12,0.06200909466721786,1.9352
mutation,mutation,,static,candidate_pool,50,PostHocNonMutationStrongHit,50,0,0.0,0.0,
mutation,mutation,,static,candidate_pool,100,IndependentAnyHit,100,51,0.51,0.1756924348904506,2.9028
mutation,mutation,,static,candidate_pool,100,IndependentStrongHit,100,3,0.03,0.0062009094667217855,4.838
mutation,mutation,,static,candidate_pool,100,FrozenLiteratureHoldout,100,0,0.0,0.0033071517155849523,0.0
mutation,mutation,,static,candidate_pool,100,CPTACRecurrence,100,43,0.43,0.11988424968995452,3.586793103448276
mutation,mutation,,static,candidate_pool,100,CPTACProteinSupport,100,11,0.11,0.049607275733774284,2.217416666666667
mutation,mutation,,static,candidate_pool,100,DepMapCCRCCDependency,100,6,0.06,0.12939231087226127,0.4637060702875399
mutation,mutation,,static,candidate_pool,100,DepMapCCRCCSelective,100,0,0.0,0.009094667217858619,0.0
mutation,mutation,,static,candidate_pool,100,PostHocNonMutationAnyHit,100,11,0.11,0.06200909466721786,1.7739333333333334
mutation,mutation,,static,candidate_pool,100,PostHocNonMutationStrongHit,100,0,0.0,0.0,
mutation,mutation,,static,candidate_pool,150,IndependentAnyHit,150,63,0.42,0.1756924348904506,2.390541176470588
mutation,mutation,,static,candidate_pool,150,IndependentStrongHit,150,3,0.02,0.0062009094667217855,3.225333333333334
mutation,mutation,,static,candidate_pool,150,FrozenLiteratureHoldout,150,0,0.0,0.0033071517155849523,0.0
mutation,mutation,,static,candidate_pool,150,CPTACRecurrence,150,55,0.36666666666666664,0.11988424968995452,3.0585057471264365
mutation,mutation,,static,candidate_pool,150,CPTACProteinSupport,150,11,0.07333333333333333,0.049607275733774284,1.4782777777777778
mutation,mutation,,static,candidate_pool,150,DepMapCCRCCDependency,150,14,0.09333333333333334,0.12939231087226127,0.7213205537806177
