Method,Family,Profile,Scope,K,Evidence,RunN,SelectedNMean,HitRateMean,HitRateSD,FoldMean,FoldSD
EvidenceScore,EvidenceScore,static,candidate_pool,50,CPTACProteinSupport,1,50.0,0.1,,2.0158333333333336,
EvidenceScore,EvidenceScore,static,candidate_pool,50,CPTACRecurrence,1,50.0,0.06,,0.5004827586206897,
EvidenceScore,EvidenceScore,static,candidate_pool,50,DepMapCCRCCDependency,1,50.0,0.0,,0.0,
EvidenceScore,EvidenceScore,static,candidate_pool,50,DepMapCCRCCSelective,1,50.0,0.0,,0.0,
EvidenceScore,EvidenceScore,static,candidate_pool,50,FrozenLiteratureHoldout,1,50.0,0.04,,12.095,
EvidenceScore,EvidenceScore,static,candidate_pool,50,IndependentAnyHit,1,50.0,0.18,,1.0245176470588235,
EvidenceScore,EvidenceScore,static,candidate_pool,50,IndependentStrongHit,1,50.0,0.02,,3.225333333333334,
EvidenceScore,EvidenceScore,static,candidate_pool,50,PostHocNonMutationAnyHit,1,50.0,0.14,,2.2577333333333334,
EvidenceScore,EvidenceScore,static,candidate_pool,50,PostHocNonMutationStrongHit,1,50.0,0.0,,,
EvidenceScore,EvidenceScore,static,candidate_pool,100,CPTACProteinSupport,1,100.0,0.08,,1.612666666666667,
EvidenceScore,EvidenceScore,static,candidate_pool,100,CPTACRecurrence,1,100.0,0.06,,0.5004827586206897,
EvidenceScore,EvidenceScore,static,candidate_pool,100,DepMapCCRCCDependency,1,100.0,0.01,,0.07728434504792332,
EvidenceScore,EvidenceScore,static,candidate_pool,100,DepMapCCRCCSelective,1,100.0,0.0,,0.0,
EvidenceScore,EvidenceScore,static,candidate_pool,100,FrozenLiteratureHoldout,1,100.0,0.02,,6.0475,
EvidenceScore,EvidenceScore,static,candidate_pool,100,IndependentAnyHit,1,100.0,0.15,,0.8537647058823529,
EvidenceScore,EvidenceScore,static,candidate_pool,100,IndependentStrongHit,1,100.0,0.01,,1.612666666666667,
EvidenceScore,EvidenceScore,static,candidate_pool,100,PostHocNonMutationAnyHit,1,100.0,0.1,,1.6126666666666667,
EvidenceScore,EvidenceScore,static,candidate_pool,100,PostHocNonMutationStrongHit,1,100.0,0.0,,,
EvidenceScore,EvidenceScore,static,candidate_pool,150,CPTACProteinSupport,1,150.0,0.06666666666666667,,1.343888888888889,
EvidenceScore,EvidenceScore,static,candidate_pool,150,CPTACRecurrence,1,150.0,0.06,,0.5004827586206897,
EvidenceScore,EvidenceScore,static,candidate_pool,150,DepMapCCRCCDependency,1,150.0,0.013333333333333334,,0.10304579339723109,
EvidenceScore,EvidenceScore,static,candidate_pool,150,DepMapCCRCCSelective,1,150.0,0.0,,0.0,
EvidenceScore,EvidenceScore,static,candidate_pool,150,FrozenLiteratureHoldout,1,150.0,0.013333333333333334,,4.031666666666667,
EvidenceScore,EvidenceScore,static,candidate_pool,150,IndependentAnyHit,1,150.0,0.13333333333333333,,0.7589019607843137,
EvidenceScore,EvidenceScore,static,candidate_pool,150,IndependentStrongHit,1,150.0,0.006666666666666667,,1.0751111111111114,
EvidenceScore,EvidenceScore,static,candidate_pool,150,PostHocNonMutationAnyHit,1,150.0,0.08,,1.2901333333333334,
EvidenceScore,EvidenceScore,static,candidate_pool,150,PostHocNonMutationStrongHit,1,150.0,0.0,,,
EvidenceScore,EvidenceScore,static,global_then_filter,50,CPTACProteinSupport,0,0.0,,,,
EvidenceScore,EvidenceScore,static,global_then_filter,50,CPTACRecurrence,0,0.0,,,,
EvidenceScore,EvidenceScore,static,global_then_filter,50,DepMapCCRCCDependency,0,0.0,,,,
EvidenceScore,EvidenceScore,static,global_then_filter,50,DepMapCCRCCSelective,0,0.0,,,,
EvidenceScore,EvidenceScore,static,global_then_filter,50,FrozenLiteratureHoldout,0,0.0,,,,
EvidenceScore,EvidenceScore,static,global_then_filter,50,IndependentAnyHit,0,0.0,,,,
EvidenceScore,EvidenceScore,static,global_then_filter,50,IndependentStrongHit,0,0.0,,,,
EvidenceScore,EvidenceScore,static,global_then_filter,50,PostHocNonMutationAnyHit,0,0.0,,,,
EvidenceScore,EvidenceScore,static,global_then_filter,50,PostHocNonMutationStrongHit,0,0.0,,,,
EvidenceScore,EvidenceScore,static,global_then_filter,100,CPTACProteinSupport,0,0.0,,,,
EvidenceScore,EvidenceScore,static,global_then_filter,100,CPTACRecurrence,0,0.0,,,,
EvidenceScore,EvidenceScore,static,global_then_filter,100,DepMapCCRCCDependency,0,0.0,,,,
EvidenceScore,EvidenceScore,static,global_then_filter,100,DepMapCCRCCSelective,0,0.0,,,,
EvidenceScore,EvidenceScore,static,global_then_filter,100,FrozenLiteratureHoldout,0,0.0,,,,
EvidenceScore,EvidenceScore,static,global_then_filter,100,IndependentAnyHit,0,0.0,,,,
EvidenceScore,EvidenceScore,static,global_then_filter,100,IndependentStrongHit,0,0.0,,,,
EvidenceScore,EvidenceScore,static,global_then_filter,100,PostHocNonMutationAnyHit,0,0.0,,,,
EvidenceScore,EvidenceScore,static,global_then_filter,100,PostHocNonMutationStrongHit,0,0.0,,,,
EvidenceScore,EvidenceScore,static,global_then_filter,150,CPTACProteinSupport,0,0.0,,,,
EvidenceScore,EvidenceScore,static,global_then_filter,150,CPTACRecurrence,0,0.0,,,,
