Method,Seed,Profile,Scope,K,SelectedRank,Gene,CPTACProteinPairs,CPTACProteinMedianDelta,CPTACProteinP,CPTACProteinQ,CPTACMutationCount,CPTACRecurrence,CPTACProteinSupport,DepMapCCRCCN,DepMapCCRCCMedian,DepMapNonKidneyN,DepMapNonKidneyMedian,DepMapSelectivityDelta,DepMapCCRCCDependency,DepMapCCRCCSelective,Holdout_Category,Evidence_Level,Evidence_Type_Count,FrozenLiteratureHoldout,IndependentEvidenceClassCount,IndependentAnyHit,IndependentStrongHit,LowFrequencyNovel,PostHocNonMutationAnyHit,PostHocNonMutationStrongHit
EvidenceScore,,static,candidate_pool,150,1,RASSF2,80.0,1.0815237703086993,1.1449828359123388e-14,1.3354214595445762e-13,0.0,False,True,16.0,0.0054795114578443,1144.0,0.012304538850992,0.0068250273931477,False,False,,,,False,1,True,False,True,True,False
EvidenceScore,,static,candidate_pool,150,2,KCNA1,,,,,,False,False,16.0,0.07058181097918,1144.0,0.0680815764994378,-0.0025002344797421,False,False,,,,False,0,False,False,True,False,False
EvidenceScore,,static,candidate_pool,150,3,KCNAB1,24.0,-0.0092985134774998,0.6230943202972412,0.6526232231769002,0.0,False,False,16.0,-0.0199210861280235,1144.0,0.0074964864327465,0.02741757256077,False,False,,,,False,0,False,False,True,False,False
EvidenceScore,,static,candidate_pool,150,4,SAMD3,,,,,,False,False,16.0,0.0123467601884161,1144.0,0.0148302292093045,0.0024834690208883,False,False,,,,False,0,False,False,True,False,False
EvidenceScore,,static,candidate_pool,150,5,SIM2,,,,,,False,False,16.0,0.0023670569183522,1144.0,0.0421626400434694,0.0397955831251172,False,False,,,,False,0,False,False,True,False,False
EvidenceScore,,static,candidate_pool,150,6,MNDA,80.0,1.1027446260859008,4.37415584440109e-14,2.782217827121858e-13,0.0,False,True,16.0,-0.0450665064547668,1144.0,-0.0254731981748074,0.0195933082799594,False,False,,,,False,1,True,False,True,True,False
EvidenceScore,,static,candidate_pool,150,7,ADCY7,4.0,,,,1.0,False,False,16.0,0.0910248975359283,1144.0,0.0843384165698938,-0.0066864809660344,False,False,,,,False,0,False,False,True,False,False
EvidenceScore,,static,candidate_pool,150,8,JMY,52.0,-0.1393152464527514,0.0016271628842539,0.00233155529328,1.0,False,False,16.0,-0.0412317384804019,1144.0,-0.0967619919382753,-0.0555302534578733,False,False,,,,False,0,False,False,True,False,False
EvidenceScore,,static,candidate_pool,150,9,DDC,80.0,-1.6361791407425006,1.2344457759240486e-14,1.3432283538790414e-13,0.0,False,True,16.0,0.0885468786014642,1144.0,0.06056389446007,-0.0279829841413942,False,False,,,,False,1,True,False,True,True,False
EvidenceScore,,static,candidate_pool,150,10,NFATC4,64.0,0.12277553679065,0.0185725283871435,0.0239918037841653,0.0,False,False,16.0,-0.107471733515888,1144.0,-0.0877011576234088,0.0197705758924791,False,False,,,,False,0,False,False,True,False,False
