BanditMethod,Comparator,Seed,K,Evidence,BanditHitRate,ComparatorHitRate,HitRateDifference,BanditFold,ComparatorFold,FoldDifference
bandit_compromise,MLP,42,50,IndependentAnyHit,0.36,0.32,0.03999999999999998,2.049035294117647,1.8213647058823528,0.2276705882352943
bandit_compromise,MLP,42,50,IndependentStrongHit,0.04,0.02,0.02,6.450666666666668,3.225333333333334,3.225333333333334
bandit_compromise,MLP,42,100,IndependentAnyHit,0.26,0.38,-0.12,1.4798588235294117,2.162870588235294,-0.6830117647058824
bandit_compromise,MLP,42,100,IndependentStrongHit,0.03,0.04,-0.010000000000000002,4.838,6.450666666666668,-1.6126666666666676
bandit_compromise,MLP,42,150,IndependentAnyHit,0.2866666666666667,0.37333333333333335,-0.08666666666666667,1.6316392156862745,2.1249254901960786,-0.4932862745098041
bandit_compromise,MLP,42,150,IndependentStrongHit,0.02666666666666667,0.03333333333333333,-0.0066666666666666645,4.300444444444445,5.375555555555556,-1.0751111111111102
bandit_compromise,MLP,45,50,IndependentAnyHit,0.44,0.34,0.09999999999999998,2.504376470588235,1.9352,0.5691764705882352
bandit_compromise,MLP,45,50,IndependentStrongHit,0.04,0.04,0.0,6.450666666666668,6.450666666666668,0.0
bandit_compromise,MLP,45,100,IndependentAnyHit,0.4,0.36,0.040000000000000036,2.276705882352941,2.049035294117647,0.22767058823529407
bandit_compromise,MLP,45,100,IndependentStrongHit,0.02,0.04,-0.02,3.225333333333334,6.450666666666668,-3.225333333333334
bandit_compromise,MLP,45,150,IndependentAnyHit,0.35333333333333333,0.36666666666666664,-0.013333333333333308,2.011090196078431,2.0869803921568626,-0.0758901960784315
bandit_compromise,MLP,45,150,IndependentStrongHit,0.013333333333333334,0.02666666666666667,-0.013333333333333334,2.1502222222222227,4.300444444444445,-2.1502222222222227
bandit_compromise,GCN,42,50,IndependentAnyHit,0.36,0.54,-0.18000000000000005,2.049035294117647,3.0735529411764704,-1.0245176470588233
bandit_compromise,GCN,42,50,IndependentStrongHit,0.04,0.04,0.0,6.450666666666668,6.450666666666668,0.0
bandit_compromise,GCN,42,100,IndependentAnyHit,0.26,0.46,-0.2,1.4798588235294117,2.6182117647058822,-1.1383529411764706
bandit_compromise,GCN,42,100,IndependentStrongHit,0.03,0.04,-0.010000000000000002,4.838,6.450666666666668,-1.6126666666666676
bandit_compromise,GCN,42,150,IndependentAnyHit,0.2866666666666667,0.4066666666666667,-0.12,1.6316392156862745,2.3146509803921567,-0.6830117647058822
bandit_compromise,GCN,42,150,IndependentStrongHit,0.02666666666666667,0.04,-0.013333333333333332,4.300444444444445,6.450666666666668,-2.1502222222222223
bandit_compromise,GCN,45,50,IndependentAnyHit,0.44,0.56,-0.12000000000000005,2.504376470588235,3.187388235294118,-0.6830117647058827
bandit_compromise,GCN,45,50,IndependentStrongHit,0.04,0.04,0.0,6.450666666666668,6.450666666666668,0.0
bandit_compromise,GCN,45,100,IndependentAnyHit,0.4,0.45,-0.04999999999999999,2.276705882352941,2.561294117647059,-0.2845882352941178
bandit_compromise,GCN,45,100,IndependentStrongHit,0.02,0.03,-0.009999999999999998,3.225333333333334,4.838,-1.6126666666666662
bandit_compromise,GCN,45,150,IndependentAnyHit,0.35333333333333333,0.38666666666666666,-0.033333333333333326,2.011090196078431,2.2008156862745096,-0.18972549019607854
bandit_compromise,GCN,45,150,IndependentStrongHit,0.013333333333333334,0.03333333333333333,-0.019999999999999997,2.1502222222222227,5.375555555555556,-3.225333333333333
bandit_discovery_heavy,MLP,42,50,IndependentAnyHit,0.16,0.32,-0.16,0.9106823529411764,1.8213647058823528,-0.9106823529411764
bandit_discovery_heavy,MLP,42,50,IndependentStrongHit,0.02,0.02,0.0,3.225333333333334,3.225333333333334,0.0
bandit_discovery_heavy,MLP,42,100,IndependentAnyHit,0.21,0.38,-0.17,1.195270588235294,2.162870588235294,-0.9676
bandit_discovery_heavy,MLP,42,100,IndependentStrongHit,0.01,0.04,-0.03,1.612666666666667,6.450666666666668,-4.838000000000001
bandit_discovery_heavy,MLP,42,150,IndependentAnyHit,0.2,0.37333333333333335,-0.17333333333333334,1.1383529411764706,2.1249254901960786,-0.986572549019608
bandit_discovery_heavy,MLP,42,150,IndependentStrongHit,0.006666666666666667,0.03333333333333333,-0.026666666666666665,1.0751111111111114,5.375555555555556,-4.3004444444444445
bandit_discovery_heavy,MLP,45,50,IndependentAnyHit,0.38,0.34,0.03999999999999998,2.162870588235294,1.9352,0.22767058823529407
bandit_discovery_heavy,MLP,45,50,IndependentStrongHit,0.04,0.04,0.0,6.450666666666668,6.450666666666668,0.0
bandit_discovery_heavy,MLP,45,100,IndependentAnyHit,0.36,0.36,0.0,2.049035294117647,2.049035294117647,0.0
