Method,Seed,Profile,ScoreType,Scope,Feature,N,SpearmanRho,PValue
EvidenceScore,,static,EvidenceScore,all_9039,MutationFrequency,9039,-0.5648787217894384,0.0
EvidenceScore,,static,EvidenceScore,all_9039,PPI_Degree,9039,-0.0227474016209525,0.030567390381095006
EvidenceScore,,static,EvidenceScore,all_9039,GRN_in_degree,9039,-0.0030756334879307734,0.7700022367124998
EvidenceScore,,static,EvidenceScore,all_9039,GRN_out_degree,9039,0.109615433850663,1.440659531665348e-25
EvidenceScore,,static,EvidenceScore,all_9039,GRN_total_degree,9039,0.01614656817872772,0.12478357846974433
EvidenceScore,,static,EvidenceScore,all_9039,Omics_Mutation,8957,-0.5923637870673011,0.0
EvidenceScore,,static,EvidenceScore,all_9039,Omics_Expression,8957,0.19558028206415717,6.180276851750478e-78
EvidenceScore,,static,EvidenceScore,all_9039,Omics_Methylation,8957,0.16171560097538085,1.5301297001339113e-53
EvidenceScore,,static,EvidenceScore,lowfreq_novel,MutationFrequency,2419,-0.6202190683049523,3.573610163056129e-257
EvidenceScore,,static,EvidenceScore,lowfreq_novel,PPI_Degree,2419,-0.03257756043080392,0.10918437653089899
EvidenceScore,,static,EvidenceScore,lowfreq_novel,GRN_in_degree,2419,0.021292669060190342,0.295181789328187
EvidenceScore,,static,EvidenceScore,lowfreq_novel,GRN_out_degree,2419,0.09274685001907398,4.898413684097972e-06
EvidenceScore,,static,EvidenceScore,lowfreq_novel,GRN_total_degree,2419,0.03229876719680489,0.11225147362201643
EvidenceScore,,static,EvidenceScore,lowfreq_novel,Omics_Mutation,2419,-0.6202190683049523,3.573610163056129e-257
EvidenceScore,,static,EvidenceScore,lowfreq_novel,Omics_Expression,2419,0.17499595224439407,4.34356313942049e-18
EvidenceScore,,static,EvidenceScore,lowfreq_novel,Omics_Methylation,2419,0.13641884256212694,1.6104092326705954e-11
bandit_recovery_heavy,42.0,recovery_heavy,BanditRolloutScore,all_9039,MutationFrequency,9039,0.41793993603119145,0.0
bandit_recovery_heavy,42.0,recovery_heavy,BanditRolloutScore,all_9039,PPI_Degree,9039,0.11402851274229509,1.5149882256807519e-27
bandit_recovery_heavy,42.0,recovery_heavy,BanditRolloutScore,all_9039,GRN_in_degree,9039,0.11333850348016765,3.125347752657386e-27
bandit_recovery_heavy,42.0,recovery_heavy,BanditRolloutScore,all_9039,GRN_out_degree,9039,0.05184453879934425,8.15234336307799e-07
bandit_recovery_heavy,42.0,recovery_heavy,BanditRolloutScore,all_9039,GRN_total_degree,9039,0.1163270182006439,1.3149024166759662e-28
bandit_recovery_heavy,42.0,recovery_heavy,BanditRolloutScore,all_9039,Omics_Mutation,8957,0.4190414230519913,0.0
bandit_recovery_heavy,42.0,recovery_heavy,BanditRolloutScore,all_9039,Omics_Expression,8957,-0.017940632066589225,0.08954047313898579
bandit_recovery_heavy,42.0,recovery_heavy,BanditRolloutScore,all_9039,Omics_Methylation,8957,-0.10618267819564245,7.027148229612021e-24
bandit_recovery_heavy,42.0,recovery_heavy,BanditRolloutScore,lowfreq_novel,MutationFrequency,2419,0.34548044339749123,9.148278674647814e-69
bandit_recovery_heavy,42.0,recovery_heavy,BanditRolloutScore,lowfreq_novel,PPI_Degree,2419,0.3577410882509676,6.060012529105017e-74
bandit_recovery_heavy,42.0,recovery_heavy,BanditRolloutScore,lowfreq_novel,GRN_in_degree,2419,0.17998737712395574,4.631478614773258e-19
bandit_recovery_heavy,42.0,recovery_heavy,BanditRolloutScore,lowfreq_novel,GRN_out_degree,2419,0.07823014842481874,0.0001173801779868916
bandit_recovery_heavy,42.0,recovery_heavy,BanditRolloutScore,lowfreq_novel,GRN_total_degree,2419,0.1835048715837652,9.194539626419246e-20
bandit_recovery_heavy,42.0,recovery_heavy,BanditRolloutScore,lowfreq_novel,Omics_Mutation,2419,0.34548044339749123,9.148278674647814e-69
bandit_recovery_heavy,42.0,recovery_heavy,BanditRolloutScore,lowfreq_novel,Omics_Expression,2419,0.004140019547405591,0.8387320712020991
bandit_recovery_heavy,42.0,recovery_heavy,BanditRolloutScore,lowfreq_novel,Omics_Methylation,2419,-0.06416899364049043,0.0015903648789307285
bandit_recovery_heavy,42.0,recovery_heavy,BanditRankScore,all_9039,MutationFrequency,9039,0.417921642458863,0.0
