Method,Seed,Profile,Baseline,FullRankSpearman,Top150OverlapN,Top150Jaccard,HighRankSimilarity,HighTop150Overlap,BanditTop150MedianBaselinePercentile,BanditTop150FractionBaselineTop10Pct
bandit_recovery_heavy,42,recovery_heavy,EvidenceScore,-0.006490803288150852,1,0.0033444816053511705,False,False,0.067374709591769,0.03333333333333333
bandit_recovery_heavy,42,recovery_heavy,mutation,0.3865204903778607,58,0.2396694214876033,False,False,,
bandit_recovery_heavy,42,recovery_heavy,PPI_degree,0.10770228074695068,18,0.06382978723404255,False,False,0.8671866356897887,0.4
bandit_recovery_heavy,42,recovery_heavy,GRN_degree,0.09083133741804635,12,0.041666666666666664,False,False,0.703285761699303,0.24666666666666667
bandit_compromise,42,compromise,EvidenceScore,0.0225615160496906,0,0.0,False,False,0.11461444850094037,0.013333333333333334
bandit_compromise,42,compromise,mutation,0.3533532151074652,44,0.171875,False,False,,
bandit_compromise,42,compromise,PPI_degree,0.05247428414990015,38,0.1450381679389313,False,False,0.9198473282442748,0.52
bandit_compromise,42,compromise,GRN_degree,0.07242121040575918,15,0.05263157894736842,False,False,0.8165726297156766,0.2866666666666667
bandit_discovery_heavy,42,discovery_heavy,EvidenceScore,0.06579287222763962,5,0.01694915254237288,False,False,0.47809492200464654,0.09333333333333334
bandit_discovery_heavy,42,discovery_heavy,mutation,0.2650218226045143,17,0.06007067137809187,False,False,,
bandit_discovery_heavy,42,discovery_heavy,PPI_degree,-0.03540288360195665,50,0.2,False,False,0.6512335435335768,0.43333333333333335
bandit_discovery_heavy,42,discovery_heavy,GRN_degree,0.0354830305213281,15,0.05263157894736842,False,False,0.703285761699303,0.22
bandit_recovery_heavy,45,recovery_heavy,EvidenceScore,0.03170087632545345,2,0.006711409395973154,False,False,0.05714127668989932,0.02
bandit_recovery_heavy,45,recovery_heavy,mutation,0.2971611091089793,62,0.2605042016806723,False,False,,
bandit_recovery_heavy,45,recovery_heavy,PPI_degree,0.3779365342261168,4,0.013513513513513514,False,False,0.8671866356897887,0.38
bandit_recovery_heavy,45,recovery_heavy,GRN_degree,0.14974672457774105,9,0.030927835051546393,False,False,0.703285761699303,0.20666666666666667
bandit_compromise,45,compromise,EvidenceScore,0.0804032152097998,3,0.010101010101010102,False,False,0.0654386547184423,0.02666666666666667
bandit_compromise,45,compromise,mutation,0.3501886561219557,64,0.2711864406779661,False,False,,
bandit_compromise,45,compromise,PPI_degree,0.11061749522527572,10,0.034482758620689655,False,False,0.8157982077663458,0.35333333333333333
bandit_compromise,45,compromise,GRN_degree,0.11445576552044479,11,0.03806228373702422,False,False,0.703285761699303,0.22666666666666666
bandit_discovery_heavy,45,discovery_heavy,EvidenceScore,0.09057777790255378,5,0.01694915254237288,False,False,0.10908286314857837,0.06
bandit_discovery_heavy,45,discovery_heavy,mutation,0.33243370944536843,52,0.20967741935483872,False,False,,
bandit_discovery_heavy,45,discovery_heavy,PPI_degree,0.273509159125229,44,0.171875,False,False,0.9402035623409669,0.5866666666666667
bandit_discovery_heavy,45,discovery_heavy,GRN_degree,0.14828910483516153,14,0.04895104895104895,False,False,0.8165726297156766,0.26666666666666666
bandit_recovery_heavy,48,recovery_heavy,EvidenceScore,-0.033958115227241924,2,0.006711409395973154,False,False,0.07511892908507578,0.03333333333333333
bandit_recovery_heavy,48,recovery_heavy,mutation,0.2543466705079937,60,0.25,False,False,,
bandit_recovery_heavy,48,recovery_heavy,PPI_degree,0.4143388367816916,7,0.023890784982935155,False,False,0.8449496625732935,0.32
bandit_recovery_heavy,48,recovery_heavy,GRN_degree,0.15701058770375032,9,0.030927835051546393,False,False,0.703285761699303,0.22
bandit_compromise,48,compromise,EvidenceScore,0.041422550077267355,2,0.006711409395973154,False,False,0.08739904856731939,0.03333333333333333
bandit_compromise,48,compromise,mutation,0.26336281998381694,54,0.21951219512195122,False,False,,
bandit_compromise,48,compromise,PPI_degree,0.33065136915445187,10,0.034482758620689655,False,False,0.8157982077663458,0.30666666666666664
bandit_compromise,48,compromise,GRN_degree,0.1416877079053803,8,0.0273972602739726,False,False,0.703285761699303,0.23333333333333334
bandit_discovery_heavy,48,discovery_heavy,EvidenceScore,0.1354545465674375,2,0.006711409395973154,False,False,0.30318619316296047,0.04666666666666667
bandit_discovery_heavy,48,discovery_heavy,mutation,0.1992702249120374,26,0.0948905109489051,False,False,,
bandit_discovery_heavy,48,discovery_heavy,PPI_degree,0.07324495160555612,28,0.10294117647058823,False,False,0.727735368956743,0.24666666666666667
bandit_discovery_heavy,48,discovery_heavy,GRN_degree,0.06438966706347017,11,0.03806228373702422,False,False,0.703285761699303,0.18
