Method,Profile,Scope,K,SeedN,PairN,MeanPairwiseJaccard,SDPairwiseJaccard
EvidenceScore,static,candidate_pool,50,0,0,1.0,0.0
EvidenceScore,static,candidate_pool,100,0,0,1.0,0.0
EvidenceScore,static,candidate_pool,150,0,0,1.0,0.0
EvidenceScore,static,global_then_filter,50,0,0,1.0,0.0
EvidenceScore,static,global_then_filter,100,0,0,1.0,0.0
EvidenceScore,static,global_then_filter,150,0,0,1.0,0.0
GCN,supervised,candidate_pool,50,3,3,0.7884387829256507,0.0865090699067804
GCN,supervised,candidate_pool,100,3,3,0.7675661729802883,0.08828984890023193
GCN,supervised,candidate_pool,150,3,3,0.8224968594639823,0.04139697212620257
GCN,supervised,global_then_filter,50,3,3,0.7395833333333334,0.02456213775531586
GCN,supervised,global_then_filter,100,3,3,0.7039529914529914,0.05790588434722116
GCN,supervised,global_then_filter,150,3,3,0.7733724340175954,0.039843347846619255
GRN_degree,static,candidate_pool,50,0,0,1.0,0.0
GRN_degree,static,candidate_pool,100,0,0,1.0,0.0
GRN_degree,static,candidate_pool,150,0,0,1.0,0.0
GRN_degree,static,global_then_filter,50,0,0,1.0,0.0
GRN_degree,static,global_then_filter,100,0,0,1.0,0.0
GRN_degree,static,global_then_filter,150,0,0,1.0,0.0
MLP,supervised,candidate_pool,50,3,3,0.7400419287211739,0.12708968189708747
MLP,supervised,candidate_pool,100,3,3,0.6169644604759109,0.14625955665237597
MLP,supervised,candidate_pool,150,3,3,0.6036226738251714,0.18615058042834892
MLP,supervised,global_then_filter,50,3,3,0.9029304029304029,0.03974823152785848
MLP,supervised,global_then_filter,100,3,3,0.8517374517374517,0.08202793343561081
MLP,supervised,global_then_filter,150,3,3,0.7040389009139009,0.09224171573302875
PPI_degree,static,candidate_pool,50,0,0,1.0,0.0
PPI_degree,static,candidate_pool,100,0,0,1.0,0.0
PPI_degree,static,candidate_pool,150,0,0,1.0,0.0
PPI_degree,static,global_then_filter,50,0,0,1.0,0.0
PPI_degree,static,global_then_filter,100,0,0,1.0,0.0
PPI_degree,static,global_then_filter,150,0,0,1.0,0.0
bandit_compromise,compromise,candidate_pool,50,3,3,0.47008093964023095,0.12407384988031869
bandit_compromise,compromise,candidate_pool,100,3,3,0.48838279273061885,0.0862893919186154
bandit_compromise,compromise,candidate_pool,150,3,3,0.5448861343008099,0.05200108013821341
bandit_compromise,compromise,global_then_filter,50,3,3,0.46119528619528616,0.10017531735948733
bandit_compromise,compromise,global_then_filter,100,3,3,0.5072323666308628,0.04393563348726594
bandit_compromise,compromise,global_then_filter,150,3,3,0.48978121452023693,0.08389787233133071
bandit_discovery_heavy,discovery_heavy,candidate_pool,50,3,3,0.24286005711954303,0.07674887916690222
bandit_discovery_heavy,discovery_heavy,candidate_pool,100,3,3,0.30906147056299826,0.06137604811535165
bandit_discovery_heavy,discovery_heavy,candidate_pool,150,3,3,0.37920849131064277,0.07994414187667397
bandit_discovery_heavy,discovery_heavy,global_then_filter,50,3,3,0.27353970011777323,0.08770323409139462
bandit_discovery_heavy,discovery_heavy,global_then_filter,100,3,3,0.2739047740821839,0.08006173258573959
bandit_discovery_heavy,discovery_heavy,global_then_filter,150,3,3,0.3017096064976583,0.04075078132981232
bandit_recovery_heavy,recovery_heavy,candidate_pool,50,3,3,0.6581617155701355,0.0416622592606411
bandit_recovery_heavy,recovery_heavy,candidate_pool,100,3,3,0.6045742118584508,0.026603101853402495
bandit_recovery_heavy,recovery_heavy,candidate_pool,150,3,3,0.6141343209182001,0.055004545573201113
bandit_recovery_heavy,recovery_heavy,global_then_filter,50,3,3,0.6697368421052632,0.08839324437404442
bandit_recovery_heavy,recovery_heavy,global_then_filter,100,3,3,0.6336996336996337,0.01678599155661479
bandit_recovery_heavy,recovery_heavy,global_then_filter,150,3,3,0.6026934083656773,0.07039252313158206
mutation,static,candidate_pool,50,0,0,1.0,0.0
mutation,static,candidate_pool,100,0,0,1.0,0.0
mutation,static,candidate_pool,150,0,0,1.0,0.0
mutation,static,global_then_filter,50,0,0,1.0,0.0
mutation,static,global_then_filter,100,0,0,1.0,0.0
mutation,static,global_then_filter,150,0,0,1.0,0.0
