Gene	Average shortest path length to known risk genes	FDR p-value (Average shortest path length)	Average cosine similarity with known risk genes	FDR p-value (Average cosine similarity)
VHL	4.569230769230769	1.0453429327662074e-109	0.6342601	0.0
PBRM1	4.492307692307692	4.2691715723987106e-120	0.6386424	0.0
SETD2	4.3076923076923075	4.334799972002243e-146	0.64658093	0.0
MUC4	5.0	5.73731037415242e-58	0.64315027	0.0
BAP1	4.2153846153846155	1.4625221455202537e-159	0.6489853	0.0
EPAS1	4.666666666666667	5.436100284867346e-97	0.5821912	0.0
MTOR	3.8153846153846156	1.8181701612659796e-220	0.65072465	0.0
NR4A2	4.257575757575758	2.294211690470845e-153	0.4811643	0.0
DST	5.318181818181818	7.542094722616821e-29	0.665367	0.0
PCLO	4.9393939393939394	1.7489259190183097e-64	0.6736751	0.0
PDE4DIP	5.2272727272727275	3.054149657767389e-36	0.65436935	0.0
NR4A3	4.196969696969697	2.763455793572972e-162	0.58003557	0.0
HIF3A	4.606060606060606	7.605891566940396e-105	0.5025577	0.0
KMT2D	3.787878787878788	8.678073467218118e-225	0.67328596	0.0
CPS1	4.378787878787879	6.28958515631937e-136	0.6924184	0.0
MYO3A	4.4393939393939394	2.086267991521298e-127	0.6777026	0.0
GOLGA5	4.7272727272727275	2.361383125752759e-89	0.60657597	0.0
LRP1B	5.538461538461538	2.385990751752655e-14	0.6800452	0.0
ADCY8	4.424242424242424	1.6016175437748486e-129	0.67036396	0.0
KIF20B	4.166666666666667	8.846692185045926e-167	0.6855177	0.0
SETBP1	5.123076923076923	1.1806541101984109e-45	0.6127635	0.0
NF1	4.553846153846154	9.190130553364623e-112	0.65660006	0.0
SPTA1	4.590909090909091	7.732232621026812e-107	0.68025976	0.0
FHOD1	4.833333333333333	1.5440304108976452e-76	0.66277564	0.0
CUL9	5.96969696969697	0.4436187976085343	0.6848866	0.0
PABPC1	4.9393939393939394	1.7489259190183097e-64	0.6614847	0.0
TXLNA	6.287878787878788	1.0	0.5620936	0.0
SPEN	4.369230769230769	2.801306563556477e-137	0.67056274	0.0
PPM1E	5.03030303030303	8.064061631179219e-55	0.6291477	0.0
USH2A	8.075757575757576	1.0	0.6617497	0.0
MLXIPL	6.121212121212121	1.0	0.55589354	0.0
HLA-DQB1	5.893939393939394	0.05792040386869313	0.5410681	0.0
SLC27A6	4.4393939393939394	2.086267991521298e-127	0.63705295	0.0
CHST9	7.409090909090909	1.0	0.34361437	1.3992527189332126e-139
CRIPAK	4.333333333333333	2.099189068911428e-142	0.63214797	0.0
UBR1	4.621212121212121	7.283583094836594e-103	0.6999998	0.0
S1PR3	6.2272727272727275	1.0	0.53758883	0.0
HUWE1	4.0	5.663074655595976e-192	0.68919307	0.0
JMJD7-PLA2G4B	6.984848484848484	1.0	0.6240448	0.0
ACVR1B	5.378787878787879	2.310813752136869e-24	0.6174026	0.0
DOCK10	4.666666666666667	5.436100284867346e-97	0.69554484	0.0
HERC2	5.106060606060606	2.7827458189784703e-47	0.6860216	0.0
S1PR4	5.409090909090909	2.9159368781695483e-22	0.56749594	0.0
BHLHB9	5.151515151515151	5.424357440584188e-43	0.56842726	0.0
MSR1	4.553846153846154	9.190130553364623e-112	0.6167034	0.0
DNAJC10	5.712121212121212	1.4715270144469939e-06	0.5575526	0.0
KIAA0319	5.363636363636363	1.8904454137449194e-25	0.62809074	0.0
LATS2	5.0	5.73731037415242e-58	0.6068934	0.0
PODXL	5.9393939393939394	0.22883090852705568	0.50124645	0.0
STK11IP	4.151515151515151	4.888626158200517e-169	0.6651503	0.0
NEBL	4.818181818181818	2.526887068025153e-78	0.60612357	0.0
HNRPLL	5.742424242424242	1.5414144071321173e-05	0.51616997	0.0
KCNJ3	7.303030303030303	1.0	0.3981609	7.275115904462927e-232
CCDC47	6.287878787878788	1.0	0.41689247	4.72313227901861e-265
SVEP1	3.8636363636363638	5.454476175122177e-213	0.70204556	0.0
ZCCHC17	5.96969696969697	0.4436187976085343	0.3682508	4.006781163375948e-180
RANBP2	4.6	1.232280740044449e-105	0.68223435	0.0
RAPGEF6	4.651515151515151	6.187097844781667e-99	0.6635653	0.0
CTNNA2	5.181818181818182	3.1356292036781608e-40	0.58768547	0.0
UBN1	6.015151515151516	0.8509305982928572	0.66214985	0.0
URB2	4.909090909090909	7.610370895101997e-68	0.69088507	0.0
NRG1	5.166666666666667	1.3342906577176216e-41	0.6952048	0.0
AGK	5.0	5.73731037415242e-58	0.6000006	0.0
CD177	4.878787878787879	2.82563781485433e-71	0.55538815	0.0
BIRC6	4.166666666666667	8.846692185045926e-167	0.6822841	0.0
SUCLG1	9.424242424242424	1.0	0.46218392	0.0
TAF7L	4.53030303030303	6.196157745775322e-115	0.6034626	0.0
APLP1	4.515151515151516	5.4796647160484944e-117	0.5829632	0.0
MKKS	5.121212121212121	7.842657521703938e-46	0.55926204	0.0
PPIL4	5.015151515151516	2.1957164053562734e-56	0.5410934	0.0
RREB1	5.575757575757576	2.1253131483774454e-12	0.6707829	0.0
ZFAND2B	5.651515151515151	6.697787609259519e-09	0.45342043	0.0
EIF4A2	5.681818181818182	1.115767866631951e-07	0.54933333	0.0
CNTRL	5.545454545454546	5.662991807285104e-14	0.7004421	0.0
ZNF653	4.9393939393939394	1.7489259190183097e-64	0.56627506	0.0
