Gene	Average shortest path length to known risk genes	FDR p-value (Average shortest path length)	Average cosine similarity with known risk genes	FDR p-value (Average cosine similarity)
VHL	4.569230769230769	3.0939982967133957e-109	0.6342601	0.0
MUC4	5.0	1.3821620935970935e-58	0.64315027	0.0
PBRM1	4.492307692307692	2.2130482394829787e-119	0.6386424	0.0
PHF17	5.424242424242424	2.923156208519247e-22	0.4153623	1.2371740051603754e-291
RNF139	4.590909090909091	1.9637076384770094e-106	0.39469525	6.422482570667306e-254
GALNT11	6.0	0.46300423940933777	0.3271195	3.7181903324356225e-136
SETD2	4.3076923076923075	9.43999407987039e-145	0.64658093	0.0
HIF3A	4.606060606060606	1.737959073153401e-104	0.5025577	0.0
MTOR	3.8153846153846156	2.5177794841595725e-217	0.65072465	0.0
NR4A2	4.257575757575758	7.504677503470952e-152	0.4811643	0.0
TP53	3.0153846153846153	0.0	0.62079453	0.0
NR4A3	4.196969696969697	1.4895433699893624e-160	0.58003557	0.0
BAP1	4.2153846153846155	6.768000233316062e-158	0.6489853	0.0
FSIP2	15.0	1.0	-0.17554034	1.0
PTS	5.045454545454546	5.659481355966012e-54	0.04794874	1.0
EP300	3.272727272727273	7.173488257919496e-301	-0.08868557	1.0
SRC	3.303030303030303	3.8172055723602106e-296	-0.13210958	1.0
EGFR	3.4393939393939394	3.593275698228136e-275	0.65767103	0.0
CREBBP	3.3230769230769233	4.1384529441108814e-293	-0.13924171	1.0
SMARCA4	3.523076923076923	3.567648208474595e-262	0.66538024	0.0
DST	5.318181818181818	7.64416891530246e-30	0.665367	0.0
ZNF197	5.424242424242424	2.923156208519247e-22	0.08986016	1.0
ESR1	2.984848484848485	0.0	-0.20077832	1.0
YWHAG	3.3636363636363638	7.206231060485754e-287	-0.18832825	1.0
ATM	3.8615384615384616	2.5340080819690207e-210	0.6719411	0.0
AR	3.0606060606060606	0.0	-0.13643685	1.0
SMG1	6.484848484848484	1.0	-0.20595515	1.0
GRB2	3.727272727272727	8.661232710659125e-231	-0.15132315	1.0
PRKDC	3.5303030303030303	4.289071394504821e-261	-0.23861618	1.0
PABPC1	4.9393939393939394	5.535048770797336e-65	0.6614847	0.0
PIK3R1	3.878787878787879	9.67482637323781e-208	-0.06435545	1.0
KMT2D	3.787878787878788	1.5217783380568327e-221	0.67328596	0.0
PIK3CA	4.230769230769231	1.1089156993196505e-155	0.6602767	0.0
SHC1	3.8333333333333335	1.2495185782783626e-214	-0.06896714	1.0
SPEN	4.369230769230769	3.735105486336274e-136	0.67056274	0.0
HDAC1	3.409090909090909	7.374735666447581e-280	-0.1000106	1.0
NCOR2	3.6818181818181817	9.250608637383135e-238	0.056198608	1.0
SMAD3	3.090909090909091	0.0	-0.18884718	1.0
PLCG1	3.8484848484848486	2.5389712526985893e-212	-0.22939827	1.0
INSR	3.6666666666666665	4.481469987237711e-240	0.045647852	1.0
BRCA1	3.1818181818181817	5.98055978e-315	0.098086886	1.0
