Gene	Average shortest path length to known risk genes	FDR p-value (Average shortest path length)	Average cosine similarity with known risk genes	FDR p-value (Average cosine similarity)
VHL	4.569230769230769	2.7642053630453693e-115	0.6342601	0.0
MUC4	5.0	2.784639304065503e-64	0.64315027	0.0
PBRM1	4.492307692307692	2.1198062406743009e-125	0.6386424	0.0
SETD2	4.3076923076923075	1.3255263477636158e-150	0.64658093	0.0
BAP1	4.2153846153846155	1.2719647877667726e-163	0.6489853	0.0
MTOR	3.8153846153846156	3.0002000541017386e-222	0.65072465	0.0
DST	5.318181818181818	1.3394031029632731e-34	0.665367	0.0
PABPC1	4.9393939393939394	8.666842423299595e-71	0.6614847	0.0
TP53	3.0153846153846153	0.0	0.62079453	0.0
PIK3CA	4.230769230769231	1.9769565113907955e-161	0.6602767	0.0
PCLO	4.9393939393939394	8.666842423299595e-71	0.6736751	0.0
SPEN	4.369230769230769	4.473923094438013e-142	0.67056274	0.0
KMT2D	3.787878787878788	2.115340487863969e-226	0.67328596	0.0
PDE4DIP	5.2272727272727275	2.9052237252149825e-42	0.65436935	0.0
ATM	3.8615384615384616	2.3467488869592044e-215	0.6719411	0.0
USH2A	8.075757575757576	1.0	0.6617497	0.0
PTEN	3.9076923076923076	1.7130850715161872e-208	0.6386633	0.0
FLG	4.212121212121212	4.33582970150717e-164	0.6797744	0.0
MAP2K3	3.9545454545454546	1.4292587375731596e-201	0.65570676	0.0
LRP1B	5.538461538461538	4.681223471344839e-19	0.6800452	0.0
SMARCA4	3.523076923076923	2.460404685622074e-266	0.66538024	0.0
FBN2	7.515151515151516	1.0	0.6906315	0.0
KCNJ12	5.636363636363637	1.2851410704542627e-13	0.654453	0.0
BAZ2B	5.318181818181818	1.3394031029632731e-34	0.6791815	0.0
ZNFX1	6.2272727272727275	1.0	0.680474	0.0
EGFR	3.4393939393939394	4.255692881133359e-279	0.65767103	0.0
MUC6	6.878787878787879	1.0	0.6704255	0.0
SPTA1	4.590909090909091	1.7383763998462225e-112	0.68025976	0.0
BRWD1	4.46969696969697	2.0157488759722106e-128	0.5884104	0.0
NOS1	5.5606060606060606	9.57038049901898e-18	0.68434733	0.0
HLA-DRB1	15.0	1.0	0.60866314	0.0
BRCA1	3.1818181818181817	3.979575e-318	0.098086886	1.0
LRP2	5.045454545454546	1.4229306440703084e-59	0.68772864	0.0
MYO3A	4.4393939393939394	1.673299379658336e-132	0.6777026	0.0
COL5A3	7.196969696969697	1.0	0.6762417	0.0
NRIP1	3.757575757575758	6.114847680928736e-231	0.5503775	0.0
NF1	4.553846153846154	2.7381918242633318e-117	0.65660006	0.0
SVIL	4.242424242424242	8.837767506374353e-160	0.6293463	0.0
AKAP9	5.092307692307692	7.111368217528181e-55	0.68913066	0.0
MED13	6.4393939393939394	1.0	0.696938	0.0
UBN1	6.015151515151516	0.11603843419891441	0.66214985	0.0
BIRC6	4.166666666666667	1.3774237346063119e-170	0.6822841	0.0
ARID1A	4.507692307692308	2.3299386137727504e-123	0.68588346	0.0
SOS1	4.045454545454546	3.500482389273137e-188	0.4091967	7.408858700837686e-275
ZFPM2	4.0606060606060606	5.7613808878307085e-186	0.67808527	0.0
ANK2	5.378787878787879	7.002849665867642e-30	0.6946765	0.0
WASL	4.212121212121212	4.33582970150717e-164	0.6236381	0.0
BLM	3.9242424242424243	4.600422224434154e-206	0.67766905	0.0
CRIPAK	4.333333333333333	4.8731389520965527e-147	0.63214797	0.0
RYR3	5.545454545454546	1.2242493613827866e-18	0.6901654	0.0
RANBP2	4.6	2.593606641673466e-111	0.68223435	0.0
RARA	3.742424242424242	3.2359242627538247e-233	0.22787578	4.035178581981896e-14
PDZD2	5.409090909090909	1.1965605630142752e-27	0.6925039	0.0
NFE2L2	4.2153846153846155	1.2719647877667726e-163	0.6527109	0.0
KIF20B	4.166666666666667	1.3774237346063119e-170	0.6855177	0.0
RYR2	5.212121212121212	1.3139036660141977e-43	0.6762933	0.0
SETBP1	5.123076923076923	7.081759845149927e-52	0.6127635	0.0
JAK2	3.8181818181818183	7.38036129473198e-222	0.14058468	1.0
PDGFRA	4.015151515151516	1.2499973933095756e-192	0.63363194	0.0
XPO1	3.893939393939394	1.469768442176506e-210	0.5338834	0.0
ZBTB38	6.015151515151516	0.11603843419891441	0.65487224	0.0
RYR1	4.938461538461539	6.924017516716082e-71	0.672736	0.0
ARHGAP5	4.590909090909091	1.7383763998462225e-112	0.67681146	0.0
MAGEC1	15.0	1.0	0.5286577	0.0
SYNE2	5.507692307692308	5.866743102700492e-21	0.613745	0.0
CACNA1S	5.545454545454546	1.2242493613827866e-18	0.68884784	0.0
HLA-DRB5	15.0	1.0	0.55049795	0.0
COL1A2	6.318181818181818	1.0	0.67242235	0.0
HERC2	5.106060606060606	1.5872832289342982e-53	0.6860216	0.0
KIAA0319	5.363636363636363	4.9677529912471725e-31	0.62809074	0.0
ATP2A1	4.484848484848484	2.1281592221250877e-126	0.66359717	0.0
COL11A1	6.0	0.07311233693762956	0.67289776	0.0
KIF1B	5.590909090909091	5.007830731219704e-16	0.69903964	0.0
STAT1	3.5757575757575757	2.18169446221551e-258	0.26172197	1.515994443660139e-42
SALL1	3.878787878787879	8.171994366410397e-213	0.6802893	0.0
